match_id,round,team_a_id,team_b_id,winner_id,loser_id,bracket,status,scheduled_date,scheduled_time,date_played,team_a_score,team_b_score
1,1,5,3.0,5.0,3.0,winners,done,2026-06-19,14:30,2026-06-19,24,8
2,1,7,9.0,7.0,9.0,winners,done,2026-06-24,14:00,2026-06-24,24,13
3,1,6,2.0,2.0,6.0,winners,done,2026-06-17,12:30,2026-06-18,15,24
4,1,4,1.0,4.0,1.0,winners,done,2026-06-24,18:00,2026-06-24,24,6
5,1,8,10.0,10.0,8.0,winners,done,2026-06-17,17:00,2026-06-18,9,24
6,2,2,5.0,,,winners,scheduled,,,,0,0
7,2,7,10.0,,,winners,scheduled,,,,0,0
8,2,4,6.0,,,winners,scheduled,,,,0,0
9,2,1,3.0,,,losers,scheduled,2026-07-01,03:00,,0,0
10,2,8,9.0,,,losers,scheduled,,,,0,0
