stat_id,match_id,player_id,team_id,queen_snatcher,precision_player,best_striker,comeback_king
1,5,5,8,False,False,True,False
2,5,14,8,False,True,False,False
3,5,15,10,True,False,False,False
4,5,18,10,False,False,False,True
5,3,2,6,False,True,False,False
6,3,21,6,False,False,True,False
7,3,12,2,True,False,False,False
8,3,16,2,False,False,False,False
9,1,10,5,True,False,False,False
10,1,20,5,False,False,False,True
11,1,19,3,False,True,False,False
12,1,22,3,False,False,True,False
13,2,3,7,False,False,False,False
14,2,13,7,True,False,False,False
15,2,6,9,False,False,True,False
16,2,11,9,False,True,False,False
17,4,7,4,False,False,False,True
18,4,17,4,True,False,False,False
19,4,1,1,False,False,True,False
20,4,9,1,False,True,False,False
