match_id,round,team_a_id,team_b_id,winner_id,loser_id,bracket,status,scheduled_date,scheduled_time,date_played,team_a_score,team_b_score
1,1,7,4,4.0,7.0,winners,done,2026-06-17,07:30,2026-06-17,9.0,14.0
2,1,6,9,9.0,6.0,winners,done,2026-06-18,04:30,2026-06-18,11.0,12.0
4,1,8,1,1.0,8.0,winners,done,2026-06-18,02:30,2026-06-17,5.0,18.0
5,1,3,10,10.0,3.0,winners,done,2026-06-17,02:30,2026-06-17,11.0,12.0
3,1,2,5,2.0,5.0,winners,done,2026-06-18,02:00,2026-06-18,16.0,7.0
6,2,2,10,10.0,2.0,winners,done,2026-06-19,03:00,2026-06-24,7.0,16.0
7,2,9,4,,,winners,scheduled,2026-06-25,02:00,,,
8,2,1,3,,,winners,scheduled,,,,0.0,0.0
9,2,5,7,7.0,5.0,losers,done,2026-06-19,02:00,2026-06-24,7.0,16.0
10,2,6,8,,,losers,scheduled,2026-06-29,02:30,,0.0,0.0
